,cid,text,time,author,channel,votes,photo,heart,reply,time_parsed
0,UgwOGO46MBxyE9BXP4d4AaABAg,skip 41 min nonconventional juicy stuff,1 month ago,@rustbeltinvestor,UCE4zE_Nv_iYzkHBqe4PJZ5g,36,https://yt3.ggpht.com/4pyKcTh0cMYdvRC7792-RGxz0IQ_0VBy-7N2hTsOOl1TrN7zIlVYytYDCtR9p5k_7bRH1TlKhJU=s176-c-k-c0x00ffffff-no-rj,False,False,1702779229.782352
1,UgyB3rb4Ekkl6wijZhB4AaABAg,thank bp this important topic cover many we feel stuck high interest rate dynamic lending world hopefully cover today show still many excellent loan option available you need know find I hope educational everyone I m always answer question,1 month ago,@RentToRetirement,UC_h1lnz1kM75Gj79VV8QtEg,48,https://yt3.ggpht.com/4r48relcULJPr61jgu7Vckc04c5UZ2eIMQ4737C1HVXPVWtU0zAkXluKyySCY9tZ7q_QDtZAc-M=s176-c-k-c0x00ffffff-no-rj,True,False,1702779229.783362
2,Ugzd-7F_b7tHj0ag-9p4AaABAg,Great Video I really funny laugh guy talk Rocket Mortgage as real estate Investor realtorbroker fix flipbuy hold 30 year knowledge expertise bring table profound I refer many new people always I m retire kick back South America keep great work Bernard,1 month ago,@bernardbarbour,UCpno4ZucXr76sZlri-KlxoQ,7,https://yt3.ggpht.com/ytc/AIf8zZQj_z9ZN0oWmuzsscuVx_LJnDgq5FBd6K7e61SmNw=s176-c-k-c0x00ffffff-no-rj,False,False,1702779229.784341
3,UgzIM4T3cUW82ezfsu94AaABAg,this gold mine video thank David honest challenge and appreciate long term think approach working loan officer,1 month ago,@user-ze9nk8to5j,UC37Souaem4pXCZp2iVdloEQ,2,https://yt3.ggpht.com/ytc/AIf8zZQzK1ArhZAGAbF-poOrpBoEJXRP0QcMNJYS7owlvs46o4GjqbywuI-6abMPKulx=s176-c-k-c0x00ffffff-no-rj,False,False,1702779229.785367
4,Ugy3RwRHfxA_B8XJWX94AaABAg,great information Loved explain benefit purchase property interest financing option refinance late rate go this great way cash flow immediate long term,1 month ago,@thegrantmyles,UC_uyscgHzjwgvx1yC4NTYiA,4,https://yt3.ggpht.com/ytc/AIf8zZTX2cctY5R9Jx_KZ8wqlcibLRSxKutiUNB23w=s176-c-k-c0x00ffffff-no-rj,False,False,1702779229.786338
5,UgwvAyq6OTiqKrua61t4AaABAg,any time find creative financing option definitely evaluate whether work thank bring option light,1 month ago,@AdamSchroederPresents,UCVk8vXR_6aV-EtuvVMaBARQ,4,https://yt3.ggpht.com/ytc/AIf8zZRCGYx-vu3pGfrFok-9whQaATN5nIWzs578C3IzFw=s176-c-k-c0x00ffffff-no-rj,False,False,1702779229.787332
6,UgzJ4kzgNr2pRiJCDu94AaABAg,I start finance degree first year I ve watch channel 3 year every many dot connect fast study finance like possible professionally predict treasury price learn many way raise capital,4 weeks ago,@willycampos9813,UCoh_jH9jcvWzUDUPVLQ1QcQ,0,https://yt3.ggpht.com/ytc/AIf8zZSccwW4-l2xF_zUT2g-FP4mdMysjuKr7V2cvHeadA=s176-c-k-c0x00ffffff-no-rj,False,False,1703038429.788331
7,Ugw28X57vSaK8I6fQR54AaABAg,absolutely fire content loan product must know right thank Gents,1 month ago,@priorityhomes2988,UCnUtUyHpYv4YNw5RKIIxy2Q,8,https://yt3.ggpht.com/WlofFRll1jmFRiCwkR9vieD6-kuTBJ8YWmRL4a86MbIxG87SHXNu3vy3pz9UV4iH2sB0B0Tg=s176-c-k-c0x00ffffff-no-rj,False,False,1702779229.789333
8,UgzZF0nVrkGdRXA1Hx14AaABAg,100 I feel every newish investor discover journey currently think bank relationship establish sit down yah say xyz loan wait offer closing number oh way phone call get,1 month ago,@patricksquires6348,UCfB3quSNrWgB2bQkZc3e2Zg,2,https://yt3.ggpht.com/ytc/AIf8zZSjYJskizVJgU1dJcwbOwMs0AjC-hqMA9lCbA=s176-c-k-c0x00ffffff-no-rj,False,False,1702779229.790254
9,UgxCVn6oe9qQMna9awt4AaABAg,Rob signing lease show longterm rent short term rental income show consistent income I challenge I start underwrite easy I W2 job,1 month ago,@WOZlicious,UC9twtUn96vdpe8BeyXMHzaA,0,https://yt3.ggpht.com/ytc/AIf8zZQgW285zMJG4XJOxXWujxsCtPNNmLr14OnjWg=s176-c-k-c0x00ffffff-no-rj,False,False,1702779229.791251
