video_ID,Pol1,Pol2,Pol3,Pol4,Pol5,Pol6,Pol7,Pol8,Pol9,Pol10,Pol11,Pol12,Pol13,Pol14,Pol15,Pol16,Pol17,Pol18,Pol19,Pol20,Pol21,Pol22,Pol23,Pol24,Pol25,Pol26,Pol27,Pol28,Pol29,Pol30,Pol31,Pol32,Pol33,Pol34,Pol35,Pol36,Pol37,Pol38,Pol39,Pol40,Pol41,Pol42,Pol43,Pol44,Pol45,Pol46,Pol47,Pol48,Pol49,Pol50,Pol51,Pol52,Pol53,Pol54,Pol55,Pol56,Pol57,Pol58,Pol59,Pol60,Pol61,Pol62,Pol63,Pol64,Pol65,Pol66,Pol67,Pol68,Pol69,Pol70,Pol71,Pol72,Pol73,Pol74,Pol75,Pol76,Pol77,Pol78,Pol79,Pol80,Pol81,Pol82,Pol83,Pol84,Pol85,Pol86,Pol87,Pol88,Pol89,Pol90,Pol91,Pol92,Pol93,Pol94,Pol95,Pol96,Pol97,Pol98,Pol99,Pol100
ZTe6J4_aikk,0.65,0,0,0.1,0.6,0,0,0.525,0.05,-0.3125,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BDnnA-2ASB0,0.095454545,0,-0.013888889,0,0,-0.291666667,-0.05,0.8,0.333333333,0.7,0,0.3,0.7,0.85,0,0.1,0.35,-0.3125,0,-0.166666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JERpaTX60jg,0,0.113636364,0.421428571,0.8,0,0,0,0.25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brgj25cpaEg,0.225,0.452,0.039583333,0.7,0.2421875,0.357142857,0,0.35,0.0375,0.215535714,0.303333333,0.023333333,0.266666667,0.354166667,0.1,0.269366391,0.102813853,0.4,0.502777778,0.183928571,0,0,0.7,0.5,-0.071428571,0,0.5,0,0,0,0,-0.10625,0,0.08,0,0.166666667,0,-0.4,0.295833333,0,0.75,0,0,0,0,0,0,0,0.1,0.126190476,-0.1875,0.05,0.109821429,0.35,0.425,0,0,0,0.233333333,0.295,0.329365079,0.416666667,0.65,0,0.666666667,0.3,0.4,0.277777778,0.246666667,0.066666667,0.65,0.1,0,-0.5,0,0.316666667,-0.03125,0.0775,0,0,0,0,0,0,-0.035897436,0.55,0,-0.15625,0,0,0.093571429,0,0,0,0,-0.016666667,0,0,0,0.35
cmw6GjAOuAc,0.172294372,0.3,0.5,0.250757576,0.8,0,0.028194444,0,0.23,0.166666667,0,0,0.35,0.5,-0.025,0.55,0,0.5,-0.083333333,-0.142857143,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y4L2lI5TAAY,0.325,0,0.5,-1,0.7,0.5,0.5,0,0.8,0.4,0.3,0.166666667,0.027083333,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JBa2q3AZThw,0.126488095,0,0.4,0.6875,-0.025,0,0.210833333,0.12,0.047483766,0.2,0,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XTbYWrSdlG0,-0.149494949,0.265454545,0.25,0.15,0.308928571,0.142857143,0.072272727,0.148452381,-0.5,0.066666667,0.16,0.366666667,0.128398268,0.14534632,0.08,0.010952381,0,0,0,0,0.038961039,-0.0075,-0.25,0.25,0,0.2,0.211082251,0.18234127,0.267272727,0.05,0,0.016666667,0.107272727,0.192857143,0,-0.3125,0.2,0.230833333,0,0,0.4,0.124606061,0.28,0,-0.25,0.225,0,0.542857143,0,0,0,0.1,0.28,0,-0.1,0,-0.1875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vB_2bj3Shio,0.28,0.1,0.85,0.416666667,0.65,0.75,0,0.316666667,0.3,0.2,0.5,0.333333333,0,0.6,0.095238095,0.8,0,0,0.4,0.5,0,0.5,0,0.35,0.6,0.083333333,0,0.8,0.066666667,0.5,0.8,0,0.4875,0.7,0.5,0.8,0.8,0.091076348,0,0.375,0.1,0,0,0,0.11452381,-0.333333333,0.25,0.2,0.45,0,0.169141414,-0.035833333,0.071818182,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WjI_jZqcKeI,-0.17,0.75,0.101666667,0.425,0.8,0.219047619,0.125,0.150833333,-0.126666667,0.7,0.2875,-0.166666667,-0.1,-0.092424242,0.1,-0.273809524,0,0.2,0.004655449,-0.6,-0.071428571,0.16,0.076041667,-0.266666667,0,-0.5,0.333333333,0,0.2,0.05,0.077272727,-0.5,-0.182539683,0.373333333,0.254166667,-0.2,0,0,-0.1,0,0.2,0.05,0,0,-0.166666667,0,0.8,0,0.7,0,0,0,0.8,0.416666667,0,0,-0.2,0.225,0,0,-0.4,0,0.0375,0.013766234,-1,0.16,0.5,0,0,0,0,0.148181818,-0.1,-0.032474747,0.158085555,0.00125,,,,,,,,,,,,,,,,,,,,,,,,
TW4qchbGXg0,0.24,0.047272727,-0.168,0,-0.05,0.5,0.417142857,0.06235119,0.5,0.4,0,-0.1,0.2,0,0.15,0.2,0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
